time	Light
11:14	7
11:15	2
11:15	1
11:15	3
11:15	5
11:15	3
11:16	5
11:16	4
11:16	0
11:16	2
11:16	3
11:17	4
11:17	3
11:17	0
11:17	3
11:17	3
11:18	2
11:18	4
11:18	6
11:18	13
11:18	3
11:19	14
11:19	3
11:19	1
11:19	3
11:19	6
11:20	5
11:20	3
11:20	3
11:20	3
11:20	3
11:21	2
11:21	3
11:21	2
11:21	3
11:21	3
11:22	3
11:22	4
11:22	2
11:22	3
11:22	2
11:22	3
11:23	0
11:23	3
11:23	2
11:23	5
11:23	2
11:24	2
11:24	2
11:24	13
11:24	7
11:24	3
11:25	0
11:25	2
11:25	7
11:25	3
11:25	4
11:26	0
11:26	7
11:26	3
11:26	3
11:26	3
11:27	1
11:27	3
11:27	3
11:27	3
11:27	8
11:28	2
11:28	3
11:28	2
11:28	3
11:28	2
11:29	2
11:29	3
11:29	2
11:29	2
11:29	8
11:30	2
11:30	2
11:30	4
11:30	2
11:30	0
11:31	3
11:31	3
11:31	3
11:31	3
11:31	3
11:31	2
11:32	3
11:32	3
11:32	0
11:32	4
11:32	2
11:33	2
11:33	3
11:33	3
11:33	2
11:33	3
11:34	3
11:34	3
11:34	3
11:34	3
11:34	2
11:35	3
11:35	2
11:35	2
11:35	3
11:36	3
11:36	3
11:36	3
11:36	3
11:36	3
11:37	2
11:37	3
11:37	2
11:37	3
11:37	4
11:38	4
11:38	3
11:38	9
11:38	4
11:38	4
11:39	3
11:39	4
11:39	4
11:39	3
11:39	4
11:39	2
11:40	3
11:40	3
11:40	3
11:40	3
11:40	3
11:41	3
11:41	3
11:41	0
11:41	3
11:41	3
11:42	3
11:42	2
11:42	3
11:42	3
11:42	3
11:43	3
11:43	3
11:43	3
11:43	3
11:43	3
11:44	2
11:44	4
11:44	3
11:44	4
11:44	3
11:45	3
11:45	3
11:45	3
11:45	3
11:45	3
11:46	4
11:46	2
11:46	1
11:46	3
11:46	3
11:47	3
11:47	3
11:47	3
11:47	2
11:47	2
11:47	3
11:48	3
11:48	3
11:48	3
11:48	2
11:48	3
11:49	3
11:49	3
11:49	4
11:49	3
11:49	3
11:50	3
11:50	3
11:50	3
11:50	3
11:50	1
11:51	2
11:51	3
11:51	3
11:51	4
11:51	3
11:52	3
11:52	2
11:52	3
11:52	2
11:52	3
11:53	3
11:53	3
11:53	2
11:53	3
11:53	3
11:54	3
11:54	3
11:54	3
11:54	3
11:54	2
11:55	3
11:55	2
11:55	4
11:55	3
11:55	2
11:56	3
11:56	3
11:56	3
11:56	1
11:56	3
11:56	2
11:57	3
11:57	3
11:57	2
11:57	3
11:57	3
11:58	3
11:58	3
11:58	3
11:58	3
11:58	2
11:59	3
11:59	3
11:59	2
11:59	1
11:59	2
12:00	3
12:00	3
12:00	2
12:00	2
12:00	2
12:01	2
12:01	4
12:01	2
12:01	3
12:01	3
12:02	2
12:02	3
12:02	3
12:02	2
12:02	3
12:03	3
12:03	3
12:03	2
12:03	3
12:03	3
12:04	3
12:04	4
12:04	2
12:04	0
12:04	2
12:04	4
12:05	3
12:05	3
12:05	3
12:05	3
12:05	3
12:06	3
12:06	4
12:06	3
12:06	3
12:06	2
12:07	5
12:07	3
12:07	2
12:07	1
12:07	2
12:08	3
12:08	3
12:08	3
12:08	3
12:08	2
12:09	3
12:09	2
12:09	2
12:09	2
12:09	3
12:10	2
12:10	3
12:10	4
12:10	3
12:10	3
12:11	2
12:11	0
12:11	3
12:11	2
12:11	3
12:12	8
12:12	3
12:12	1
12:12	3
12:12	9
12:12	0
12:13	4
12:13	4
12:13	13
12:13	3
12:13	3
12:14	5
12:14	3
12:14	4
12:14	12
12:14	3
12:15	3
12:15	3
12:15	3
12:15	3
12:15	13
12:16	4
12:16	3
12:16	3
12:16	2
12:16	4
12:17	2
12:17	5
12:17	0
12:17	3
12:17	8
12:18	3
12:18	3
12:18	3
12:18	2
12:18	4
12:19	3
12:19	0
12:19	1
12:19	3
12:19	3
12:20	2
12:20	4
12:20	2
12:20	3
12:20	4
12:21	3
12:21	3
12:21	3
12:21	4
12:21	3
12:21	3
12:22	2
12:22	6
12:22	0
12:22	3
12:22	3
12:23	3
12:23	1
12:23	4
12:23	4
12:23	3
12:24	3
12:24	2
12:24	2
12:24	2
12:24	3
12:25	1
12:25	3
12:25	3
12:25	2
12:25	3
12:26	13
12:26	2
12:26	13
12:26	4
12:26	3
12:27	3
12:27	12
12:27	2
12:27	4
12:27	3
12:28	11
12:28	0
12:28	3
12:28	3
12:28	0
12:29	2
12:29	0
12:29	3
12:29	0
12:29	3
12:29	0
12:30	2
12:30	8
12:30	2
12:30	3
12:30	3
12:31	2
12:31	3
12:31	8
12:31	0
12:31	13
12:32	2
12:32	3
12:32	3
12:32	7
12:32	3
12:33	4
12:33	3
12:33	2
12:33	3
12:33	0
12:34	3
12:34	1
12:34	1
12:34	3
12:34	1
12:35	0
12:35	2
12:35	0
12:35	3
12:35	4
12:36	2
12:36	4
12:36	59
12:36	58
12:36	61
12:37	63
12:37	62
12:37	62
12:37	63
12:37	62
12:37	62
12:38	62
12:38	62
12:38	60
12:38	61
12:38	59
12:39	58
12:39	58
12:39	58
12:39	56
12:39	57
12:40	55
12:40	55
12:40	55
12:40	60
12:40	55
12:41	53
12:41	57
12:41	54
12:41	52
12:41	53
12:42	53
12:42	55
12:42	54
12:42	54
12:42	54
12:43	53
12:43	55
12:43	53
12:43	53
12:43	53
12:44	52
12:44	53
12:44	51
12:44	53
12:44	53
12:45	54
12:45	59
12:45	53
12:45	53
12:45	54
12:46	57
12:46	53
12:46	54
12:46	54
12:46	55
12:46	55
12:47	58
12:47	57
12:47	56
12:47	56
12:47	55
12:48	57
12:48	57
12:48	52
12:48	57
12:48	58
12:49	60
12:49	62
12:49	59
12:49	58
12:49	59
12:50	59
12:50	60
12:50	62
12:50	60
